id,value
id_0,6.384964719573833
id_1,17.100257572641574
id_2,25.175793756017814
id_3,7.88187355183284
id_4,26.85383015551225
id_5,22.55462495494192
id_6,24.518274133520062
id_7,31.028795299671074
id_8,17.30893303779636
id_9,58.051442337703435
id_10,10.254912244440492
id_11,8.436910500491178
id_12,60.71527041417181
id_13,54.979887133336575
id_14,20.960193327150698
id_15,13.488636129075065
id_16,33.60945702851997
id_17,65.6492924901388
id_18,-0.4280273552250319
id_19,17.464464515827228
id_20,41.80473642362592
id_21,70.84590318397844
id_22,10.062031553464637
id_23,17.517845142666328
id_24,14.348373124891369
id_25,37.809265244252614
id_26,14.8409960153933
id_27,63.84655022188979
id_28,7.5227658817264835
id_29,54.83458595736775
id_30,26.28445206370176
id_31,9.11119210118631
id_32,2.8953874737063625
id_33,17.560046086161734
id_34,27.00193264144554
id_35,35.76982430260433
id_36,44.49849290491391
id_37,29.846152640676852
id_38,42.07516411527151
id_39,35.24730234935231
id_40,7.325971741958321
id_41,41.56827540649062
id_42,31.651124418998958
id_43,50.96001140798025
id_44,17.73930489956341
id_45,35.450859609776465
id_46,24.400781766651477
id_47,10.610360136939978
id_48,25.67668760250276
id_49,32.05039272549565
id_50,21.533453389795923
id_51,8.60003917503206
id_52,19.566779953929935
id_53,51.714391135347384
id_54,14.714245784964405
id_55,35.111221524597276
id_56,33.67639283478946
id_57,19.713841541495935
id_58,58.32332931162522
id_59,22.543670826821785
id_60,14.425754647974086
id_61,41.94948473150124
id_62,13.148327906704628
id_63,48.84917250140528
id_64,13.887963148939171
id_65,17.350265963021894
id_66,15.341642220242269
id_67,-1.122161124758216
id_68,42.300680224378105
id_69,29.45276555299891
id_70,19.370810397861316
id_71,41.90213347594633
id_72,60.79405313936782
id_73,5.734284290747809
id_74,15.494033472025631
id_75,4.738355373329723
id_76,39.419635612878366
id_77,14.318702492126324
id_78,20.669697973828427
id_79,22.046883124235283
id_80,23.4276172544299
id_81,33.63849550606653
id_82,22.505510265079288
id_83,91.98523436006626
id_84,36.81206602489535
id_85,28.526652469917117
